Genre,Publisher,Rank,Year,Global Sales,min(1),Name,North America Sales,% Europe,% Japan,% North America,% Other,Europe Sales,Japan Sales,Number of Video Games,Other Sales,Platform
Fighting,Sega,890,1995,1.93,1,Virtua Fighter 2,0.34,13%,67%,18%,2%,0.26,1.3,1,0.03,SAT
Puzzle,Nintendo,891,1998,1.93,1,Tetris DX,1.06,31%,10%,55%,4%,0.6,0.2,1,0.07,GB
Fighting,Midway Games,892,2008,1.93,1,"Mortal Kombat vs, DC Universe",1.53,12%,0%,79%,8%,0.24,0,1,0.16,X360
Action,Ubisoft,893,2014,1.93,1,Watch Dogs,0.56,46%,5%,29%,19%,0.89,0.1,1,0.37,PS3
Sports,Nintendo,894,2008,1.93,1,Mario Super Sluggers,1.51,0%,15%,78%,6%,0,0.29,1,0.12,Wii
Action,Square Enix,895,2013,1.92,1,Tomb Raider (2013),0.86,45%,1%,45%,9%,0.87,0.01,1,0.17,X360
Action,Nintendo,896,2001,1.92,1,The Legend of Zelda: Oracle of Ages,0.92,28%,21%,48%,3%,0.53,0.41,1,0.06,GB
Racing,Electronic Arts,897,2009,1.92,1,Need for Speed: Shift,0.73,51%,1%,38%,11%,0.97,0.01,1,0.22,X360
Misc,Electronic Arts,898,2008,1.92,1,Monopoly,0.87,44%,0%,45%,10%,0.85,0,1,0.2,Wii
Shooter,THQ,899,2001,1.92,1,Red Faction,0.76,50%,0%,40%,10%,0.96,0,1,0.2,PS2
Simulation,Electronic Arts,900,2003,1.92,1,The Sims: Makin' Magic,1.03,42%,0%,54%,5%,0.8,0,1,0.09,PC
Racing,THQ,901,2004,1.92,1,MX Unleashed,0.94,38%,0%,49%,13%,0.73,0,1,0.25,PS2
Misc,Sony Computer Entertainment,902,1996,1.92,1,PaRappa The Rapper,0.26,8%,76%,14%,2%,0.16,1.46,1,0.03,PS
Misc,Disney Interactive Studios,903,2009,1.92,1,Toy Story Mania!,1.06,35%,0%,55%,9%,0.67,0,1,0.18,Wii
Misc,Nintendo,904,2000,1.91,1,Mario Party 3,0.72,8%,53%,38%,1%,0.16,1.01,1,0.02,N64
Action,LucasArts,905,2008,1.91,1,Star Wars: The Force Unleashed,1.14,30%,0%,60%,10%,0.57,0,1,0.19,Wii
Misc,Midway Games,906,2008,1.91,1,Game Party 2,1.3,23%,0%,68%,9%,0.44,0,1,0.17,Wii
Shooter,Activision,907,2015,1.91,1,Destiny: The Taken King,0.77,41%,2%,40%,16%,0.78,0.04,1,0.31,PS4
Action,LucasArts,908,2011,1.91,1,LEGO Star Wars III: The Clone Wars,1.08,35%,0%,57%,9%,0.66,0,1,0.17,Wii
Simulation,LucasArts,909,2001,1.9,1,Star Wars Rogue Leader: Rogue Squadron II,1.03,39%,2%,54%,5%,0.75,0.03,1,0.09,GC
Shooter,Take-Two Interactive,910,2012,1.9,1,Max Payne 3,0.59,48%,3%,31%,17%,0.92,0.06,1,0.32,PS3
Racing,Electronic Arts,911,2013,1.89,1,Need for Speed Rivals,0.73,48%,2%,39%,12%,0.91,0.03,1,0.22,PS4
Sports,Electronic Arts,912,2008,1.89,1,Madden NFL 09,1.56,8%,0%,83%,10%,0.15,0,1,0.18,PS3
Role-Playing,Nintendo,913,2013,1.89,1,Yokai Watch,0.21,16%,70%,11%,2%,0.3,1.33,1,0.04,3DS
Platform,Sony Computer Entertainment,914,2009,1.88,1,Ratchet & Clank Future: A Crack in Time,1.05,29%,2%,56%,14%,0.54,0.03,1,0.26,PS3
Role-Playing,Konami Digital Entertainment,915,1999,1.88,1,Yu-Gi-Oh! Forbidden Memories,1.37,23%,0%,73%,4%,0.44,0,1,0.08,PS
Fighting,Midway Games,916,2004,1.88,1,Mortal Kombat: Deception,0.92,38%,0%,49%,13%,0.72,0,1,0.24,PS2
Sports,Sony Computer Entertainment,917,1999,1.88,1,Hot Shots Golf 2,0.25,6%,79%,13%,2%,0.12,1.48,1,0.03,PS
Shooter,Electronic Arts,918,2005,1.88,1,Medal of Honor: European Assault (All Region sales),0.89,37%,5%,47%,11%,0.69,0.09,1,0.21,PS2
Fighting,THQ,919,1998,1.88,1,WCW Nitro,1.42,19%,2%,76%,4%,0.36,0.03,1,0.07,PS
Misc,Disney Interactive Studios,920,2007,1.87,1,High School Musical: Sing It!,0.47,4%,0%,25%,71%,0.08,0,1,1.33,PS2
Adventure,Nintendo,921,2002,1.87,1,Star Fox Adventures,0.96,28%,16%,51%,5%,0.53,0.3,1,0.09,GC
Sports,Electronic Arts,922,1998,1.87,1,FIFA 2000,0.22,79%,2%,12%,7%,1.47,0.04,1,0.14,PS
Action,THQ,923,2001,1.87,1,Dynasty Warriors 3,0.53,9%,57%,28%,5%,0.16,1.07,1,0.1,PS2
Platform,Nintendo,924,2013,1.87,1,Donkey Kong Country Returns,0.73,33%,21%,39%,6%,0.62,0.4,1,0.12,3DS
Adventure,Nintendo,925,2001,1.86,1,The Legend of Zelda: Oracle of Seasons,0.87,28%,22%,47%,3%,0.52,0.41,1,0.06,GB
Sports,Electronic Arts,926,2005,1.86,1,Madden NFL 06,1.75,2%,0%,94%,4%,0.03,0,1,0.08,XB
Platform,Activision,927,2004,1.86,1,Shrek 2,1.12,37%,2%,60%,1%,0.69,0.03,1,0.02,PS2
Role-Playing,Sony Computer Entertainment,928,1999,1.86,1,The Legend of Dragoon,0.94,24%,21%,51%,5%,0.44,0.39,1,0.1,PS
Platform,Acclaim Entertainment,929,1997,1.86,1,Turok 2: Seeds of Evil,1.37,22%,2%,74%,2%,0.41,0.04,1,0.04,N64
Misc,Sony Computer Entertainment,930,2004,1.86,1,SingStar,0,74%,0%,0%,26%,1.37,0,1,0.49,PS2
Platform,Sony Computer Entertainment,931,2014,1.86,1,LittleBigPlanet 3,0.64,49%,1%,34%,16%,0.92,0.01,1,0.29,PS4
Sports,Electronic Arts,932,2001,1.86,1,NBA Live 2002,0.91,38%,0%,49%,13%,0.71,0,1,0.24,PS2
Action,Disney Interactive Studios,933,2009,1.86,1,Phineas and Ferb,1.34,20%,0%,72%,8%,0.37,0,1,0.15,DS
Role-Playing,SquareSoft,934,1999,1.86,1,Chrono Cross,0.62,23%,37%,33%,6%,0.42,0.69,1,0.12,PS
Action,Activision,935,2010,1.86,1,GoldenEye 007 (2010),0.85,38%,7%,46%,9%,0.71,0.13,1,0.16,Wii
Misc,Nintendo,936,2013,1.85,1,Mario Party: Island Tour,0.61,32%,30%,33%,6%,0.59,0.55,1,0.11,3DS
Platform,Sony Computer Entertainment,937,2004,1.85,1,Jak 3,1.33,26%,0%,72%,2%,0.49,0,1,0.03,PS2
Misc,Ubisoft,938,2007,1.85,1,Rayman Raving Rabbids 2,0.83,44%,0%,45%,11%,0.82,0,1,0.2,Wii
Role-Playing,Square Enix,939,2004,1.85,1,Kingdom Hearts: Chain of Memories,1.26,10%,19%,68%,3%,0.18,0.35,1,0.06,GBA
Action,Nintendo,940,1984,1.85,1,Pinball,0.8,10%,45%,43%,2%,0.19,0.83,1,0.03,NES
Action,Sony Computer Entertainment,941,2011,1.85,1,inFAMOUS 2,1.05,26%,4%,57%,12%,0.49,0.08,1,0.23,PS3
Racing,Unknown,942,2001,1.84,1,Gran Turismo Concept 2001 Tokyo,0,60%,23%,0%,18%,1.1,0.42,1,0.33,PS2
Role-Playing,Namco Bandai Games,943,2009,1.84,1,Demon's Souls,0.97,18%,19%,53%,10%,0.34,0.35,1,0.18,PS3
Sports,Electronic Arts,944,2005,1.84,1,NCAA Football 06,1.53,3%,0%,83%,14%,0.05,0,1,0.25,PS2
Simulation,Nintendo,945,1998,1.83,1,"Hey You, Pikachu!",0.83,3%,51%,45%,0%,0.06,0.93,1,0,N64
Misc,THQ,946,2005,1.83,1,2 Games in 1: Sonic Advance & ChuChu Rocket!,1.31,27%,0%,72%,2%,0.49,0,1,0.03,GBA
Role-Playing,Activision,947,2012,1.83,1,World of Warcraft: Mists of Pandaria,0.84,42%,0%,46%,13%,0.76,0,1,0.23,PC
Racing,Sony Computer Entertainment,948,1996,1.83,1,Jet Moto,1.33,22%,2%,73%,4%,0.4,0.03,1,0.07,PS
Action,Square Enix,949,2015,1.83,1,Just Cause 3,0.46,56%,4%,25%,15%,1.02,0.07,1,0.28,PS4
Role-Playing,SquareSoft,950,1993,1.83,1,Secret of Mana,0.25,4%,81%,14%,1%,0.07,1.49,1,0.02,SNES
Shooter,Electronic Arts,951,2007,1.83,1,The Orange Box,1.09,30%,1%,60%,9%,0.54,0.02,1,0.17,X360
Simulation,Sony Computer Entertainment,952,1995,1.83,1,Air Combat,0.92,18%,28%,50%,3%,0.33,0.52,1,0.05,PS
Platform,Nintendo,953,2014,1.82,1,Kirby: Triple Deluxe,0.61,19%,43%,34%,5%,0.34,0.79,1,0.09,3DS
Platform,Sega,954,1994,1.82,1,Sonic & Knuckles,1.24,24%,2%,68%,7%,0.43,0.03,1,0.12,GEN
Misc,Namco Bandai Games,955,2001,1.82,1,Namco Museum,1.73,4%,0%,95%,1%,0.07,0,1,0.02,PS2
Simulation,Electronic Arts,956,2001,1.82,1,The Sims: Hot Date,1.81,0%,0%,99%,0%,0,0,1,0,PC
Shooter,Nintendo,957,2007,1.82,1,Metroid Prime 3: Corruption,0.91,41%,4%,50%,5%,0.74,0.07,1,0.09,Wii
Role-Playing,Nintendo,958,2010,1.81,1,Dragon Quest VI: Realms of Revelation,0.22,12%,75%,12%,2%,0.21,1.35,1,0.03,DS
Action,Bethesda Softworks,959,2014,1.81,1,The Evil Within,0.55,46%,6%,30%,17%,0.84,0.11,1,0.31,PS4
Simulation,Konami Digital Entertainment,960,2003,1.81,1,DDRMAX2: Dance Dance Revolution,1.05,33%,0%,58%,10%,0.59,0,1,0.18,PS2
Racing,Sega,961,2000,1.81,1,Crazy Taxi,1.1,28%,7%,61%,4%,0.51,0.12,1,0.08,DC
Fighting,Sega,962,2002,1.81,1,Virtua Fighter 4,0.78,24%,31%,43%,2%,0.44,0.56,1,0.04,PS2
Platform,Sony Computer Entertainment,963,2004,1.81,1,Sly 2: Band of Thieves,0.88,38%,0%,49%,13%,0.69,0,1,0.23,PS2
Misc,Activision,964,2008,1.8,1,Guitar Hero: World Tour,1,2%,0%,56%,43%,0.03,0,1,0.77,PS2
Platform,Sega,965,2002,1.8,1,Sonic Advance 2,0.93,33%,12%,52%,4%,0.59,0.21,1,0.07,GBA
Sports,Electronic Arts,966,2006,1.8,1,Madden NFL 07,1.66,0%,1%,92%,7%,0,0.01,1,0.13,X360
Action,Take-Two Interactive,967,2010,1.8,1,NBA 2K11,1.41,12%,2%,78%,9%,0.21,0.03,1,0.16,PS3
Sports,989 Studios,968,1999,1.8,1,NFL GameDay 2000,1,38%,0%,56%,7%,0.68,0,1,0.12,PS
Shooter,Activision,969,2015,1.79,1,Call of Duty: Black Ops 3,0.49,54%,4%,27%,15%,0.96,0.07,1,0.27,PS3
Platform,Virgin Interactive,970,1994,1.79,1,Disney's The Lion King,1.26,22%,4%,70%,3%,0.39,0.08,1,0.06,SNES
Adventure,Sony Computer Entertainment,971,2013,1.79,1,Beyond: Two Souls,0.52,49%,3%,29%,19%,0.88,0.06,1,0.34,PS3
Action,Microsoft Game Studios,972,2012,1.78,1,Kinect Star Wars,1.05,32%,2%,59%,8%,0.57,0.03,1,0.14,X360
Racing,Take-Two Interactive,973,2003,1.78,1,Midnight Club II,1.25,16%,0%,70%,13%,0.29,0,1,0.24,PS2
Role-Playing,Square Enix,974,2006,1.78,1,Dragon Quest Monsters: Joker,0.23,2%,84%,13%,2%,0.03,1.49,1,0.03,DS
Action,THQ,975,2001,1.78,1,SpongeBob SquarePants: SuperSponge,1.12,33%,0%,63%,4%,0.58,0,1,0.08,PS
Action,Sony Computer Entertainment,976,2004,1.78,1,The Getaway: Black Monday,0.39,57%,1%,22%,20%,1.01,0.02,1,0.36,PS2
Puzzle,Nintendo,977,2011,1.78,1,Professor Layton and the Mask of Miracle,0.32,53%,20%,18%,8%,0.95,0.36,1,0.14,3DS
Action,Square Enix,978,2010,1.78,1,Just Cause 2,0.45,53%,3%,25%,19%,0.94,0.06,1,0.33,PS3
Role-Playing,Capcom,979,2012,1.78,1,Dragon's Dogma,0.41,26%,40%,23%,11%,0.46,0.72,1,0.19,PS3
Action,Nintendo,980,2013,1.77,1,The Legend of Zelda: The Wind Waker,0.93,32%,8%,53%,7%,0.57,0.14,1,0.13,WiiU
Action,Vivendi Games,981,2005,1.77,1,50 Cent: Bulletproof,0.85,43%,0%,48%,9%,0.76,0,1,0.16,PS2
Misc,Disney Interactive Studios,982,2007,1.77,1,High School Musical: Sing It!,1.16,25%,0%,66%,9%,0.45,0,1,0.16,Wii
Misc,Nintendo,983,2013,1.77,1,Wii Party U,0.31,31%,47%,18%,5%,0.54,0.84,1,0.08,WiiU
Sports,Electronic Arts,984,2013,1.77,1,Madden NFL 25,1.59,2%,0%,90%,8%,0.03,0,1,0.15,PS3
Role-Playing,Square,985,1991,1.77,1,Final Fantasy II,0.24,5%,75%,14%,7%,0.09,1.33,1,0.12,SNES
Platform,Nintendo,986,2000,1.77,1,Kirby 64: The Crystal Shards,0.63,3%,58%,36%,2%,0.06,1.03,1,0.04,N64
Fighting,Microsoft Game Studios,987,2001,1.77,1,Dead or Alive 3,1.19,16%,14%,67%,3%,0.29,0.24,1,0.06,XB
Fighting,THQ,988,2009,1.77,1,UFC 2009 Undisputed,1.07,25%,1%,60%,14%,0.45,0.01,1,0.24,PS3
Adventure,Nintendo,989,1991,1.76,1,Metroid II: Return of Samus,0.85,18%,32%,48%,2%,0.31,0.56,1,0.04,GB
Fighting,Acclaim Entertainment,990,1998,1.76,1,WWF Attitude,1.27,24%,0%,72%,4%,0.42,0,1,0.07,PS
Platform,THQ,991,2004,1.76,1,The SpongeBob SquarePants Movie,1.06,31%,0%,60%,9%,0.54,0,1,0.16,PS2
Role-Playing,Nintendo,992,2001,1.76,1,Golden Sun,0.93,22%,23%,53%,3%,0.38,0.4,1,0.06,GBA
Platform,Sega,993,1994,1.76,1,Sonic the Hedgehog 3,1.02,27%,11%,58%,4%,0.47,0.2,1,0.07,GEN
Platform,Nintendo,994,1986,1.76,1,Kid Icarus,0.53,7%,62%,30%,1%,0.12,1.09,1,0.02,NES
Fighting,Electronic Arts,995,2004,1.76,1,Def Jam: Fight for NY,0.86,38%,0%,49%,13%,0.67,0,1,0.22,PS2
Shooter,Ubisoft,996,2002,1.76,1,Tom Clancy's Ghost Recon,1.23,26%,0%,70%,4%,0.46,0,1,0.07,XB
Action,Take-Two Interactive,997,2002,1.76,1,State of Emergency,0.86,38%,0%,49%,13%,0.67,0,1,0.22,PS2
Shooter,Take-Two Interactive,998,2013,1.76,1,BioShock Infinite,0.72,39%,2%,41%,18%,0.69,0.04,1,0.31,PS3
Action,Square Enix,999,2012,1.76,1,Hitman: Absolution,0.68,51%,1%,39%,10%,0.9,0.01,1,0.17,X360
Action,THQ,1000,2007,1.76,1,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,1.26,27%,0%,72%,2%,0.47,0,1,0.03,GBA
Shooter,Activision,1001,2015,1.76,1,Call of Duty: Black Ops 3,1.11,27%,0%,63%,9%,0.48,0,1,0.16,X360
Action,Activision,7371,,0.21,1,Ghostbusters II,0.2,5%,0%,95%,0%,0.01,0,1,0,2600
Action,Atari,6318,,0.27,1,Flag Capture,0.25,7%,0%,93%,0%,0.02,0,1,0,2600
Action,Atari,5800,,0.31,1,Slot Machine,0.29,6%,0%,94%,0%,0.02,0,1,0,2600
Action,Atari,4380,,0.45,1,Maze Craze: A Game of Cops 'n Robbers,0.42,4%,0%,93%,0%,0.02,0,1,0,2600
Action,Atari,4234,,0.46,1,Circus Atari,0.43,7%,0%,93%,0%,0.03,0,1,0,2600
Action,Atari,1587,,1.25,1,Combat,1.17,6%,0%,94%,1%,0.07,0,1,0.01,2600
Action,Activision,5368,1980,0.34,1,Freeway,0.32,6%,0%,94%,0%,0.02,0,1,0,2600
Action,Mattel Interactive,8461,1981,0.17,1,Armor Ambush,0.15,6%,0%,88%,0%,0.01,0,1,0,2600
Action,Atari,7186,1981,0.22,1,Crazy Climber,0.21,5%,0%,95%,0%,0.01,0,1,0,2600
Action,"Parker Bros,",7152,1981,0.22,1,Reactor,0.21,5%,0%,95%,0%,0.01,0,1,0,2600
Action,Taito,6868,1981,0.24,1,Front Line,0.22,4%,0%,92%,0%,0.01,0,1,0,2600
Action,Unknown,6023,1981,0.29,1,Fast Food,0.27,7%,0%,93%,0%,0.02,0,1,0,2600
Action,Mattel Interactive,5802,1981,0.31,1,Astroblast,0.29,6%,0%,94%,0%,0.02,0,1,0,2600
Action,"Starpath Corp,",5566,1981,0.33,1,Fireball,0.3,6%,0%,91%,0%,0.02,0,1,0,2600
Action,20th Century Fox Video Games,5391,1981,0.34,1,Fantastic Voyage,0.32,6%,0%,94%,0%,0.02,0,1,0,2600
Action,Mattel Interactive,5248,1981,0.36,1,Frogs And Flies,0.33,6%,0%,92%,0%,0.02,0,1,0,2600
Action,Imagic,5129,1981,0.37,1,Dragonfire,0.35,5%,0%,95%,0%,0.02,0,1,0,2600
Action,Data Age,4969,1981,0.39,1,Airlock,0.36,5%,0%,92%,0%,0.02,0,1,0,2600
Action,Activision,4910,1981,0.39,1,Laser Blast,0.37,5%,0%,95%,0%,0.02,0,1,0,2600
Action,Coleco,4786,1981,0.4,1,Mouse Trap,0.38,5%,0%,95%,0%,0.02,0,1,0,2600
Action,Activision,4519,1981,0.43,1,Barnstorming,0.4,5%,0%,93%,0%,0.02,0,1,0,2600
Action,Tigervision,4404,1981,0.45,1,Jawbreaker,0.42,7%,0%,93%,0%,0.03,0,1,0,2600
Action,Atari,4017,1981,0.5,1,Raiders of the Lost Ark,0.46,6%,0%,92%,2%,0.03,0,1,0.01,2600
Action,Coleco,3410,1981,0.59,1,Smurf: Rescue In Gargamel's Castle,0.55,5%,0%,93%,2%,0.03,0,1,0.01,2600
Action,Mattel Interactive,3046,1981,0.67,1,Adventures of Tron,0.63,4%,0%,94%,1%,0.03,0,1,0.01,2600
Action,Tigervision,2942,1981,0.69,1,King Kong,0.65,6%,0%,94%,1%,0.04,0,1,0.01,2600
Action,Men-A-Vision,2666,1981,0.77,1,Air Raid,0.72,5%,0%,94%,1%,0.04,0,1,0.01,2600
Action,20th Century Fox Video Games,2598,1981,0.79,1,Alien,0.74,5%,0%,94%,1%,0.04,0,1,0.01,2600
Action,Mystique,2518,1981,0.82,1,Custer's Revenge,0.76,6%,0%,93%,1%,0.05,0,1,0.01,2600
Action,"Parker Bros,",2234,1981,0.93,1,Spider-Man,0.87,5%,0%,94%,1%,0.05,0,1,0.01,2600
Action,Atari,9108,1982,0.14,1,Krull,0.13,7%,0%,93%,0%,0.01,0,1,0,2600
Action,Activision,8760,1982,0.15,1,Pressure Cooker,0.14,7%,0%,93%,0%,0.01,0,1,0,2600
Action,Avalon Interactive,8460,1982,0.17,1,Death Trap,0.15,6%,0%,88%,0%,0.01,0,1,0,2600
Action,Bomb,7151,1982,0.22,1,Assault,0.21,5%,0%,95%,0%,0.01,0,1,0,2600
Action,20th Century Fox Video Games,6730,1982,0.25,1,Porky's,0.23,4%,0%,92%,0%,0.01,0,1,0,2600
Action,Coleco,6267,1982,0.27,1,"Mr, Do!",0.26,7%,0%,96%,0%,0.02,0,1,0,2600
Action,Tigervision,6147,1982,0.28,1,Polaris,0.26,7%,0%,93%,0%,0.02,0,1,0,2600
Action,CBS Electronics,5775,1982,0.31,1,Mountain King,0.29,6%,0%,94%,0%,0.02,0,1,0,2600
Action,Data Age,5660,1982,0.32,1,Frankenstein's Monster,0.3,6%,0%,94%,0%,0.02,0,1,0,2600
Action,20th Century Fox Video Games,5397,1982,0.34,1,Bank Heist,0.32,6%,0%,94%,0%,0.02,0,1,0,2600
Action,ITT Family Games,5383,1982,0.34,1,Alien's Return,0.32,6%,0%,94%,0%,0.02,0,1,0,2600
Action,Atari,5066,1982,0.38,1,Gravitar,0.35,5%,0%,92%,0%,0.02,0,1,0,2600
Action,Sega,4803,1982,0.4,1,Congo Bongo,0.37,5%,0%,93%,0%,0.02,0,1,0,2600
Action,Answer Software,4018,1982,0.5,1,Gauntlet,0.46,6%,0%,92%,2%,0.03,0,1,0.01,2600
Action,CPG Products,3718,1982,0.54,1,Action Force,0.5,6%,0%,93%,2%,0.03,0,1,0.01,2600
Action,Wizard Video Games,3268,1982,0.62,1,Halloween,0.58,5%,0%,94%,2%,0.03,0,1,0.01,2600
Action,Universal Gamex,3217,1982,0.63,1,X-Man,0.58,6%,0%,92%,2%,0.04,0,1,0.01,2600
Action,Activision,3081,1982,0.66,1,Keystone Kapers,0.62,6%,0%,94%,2%,0.04,0,1,0.01,2600
Action,"Parker Bros,",8459,1983,0.17,1,"Mr, Do!'s Castle",0.15,6%,0%,88%,0%,0.01,0,1,0,2600
Action,Activision,6009,1983,0.29,1,Dolphin,0.27,7%,0%,93%,0%,0.02,0,1,0,2600
Action,"Parker Bros,",5561,1983,0.33,1,Frogger II: Threeedeep!,0.31,6%,0%,94%,0%,0.02,0,1,0,2600
Action,Activision,5384,1983,0.34,1,Frostbite,0.32,6%,0%,94%,0%,0.02,0,1,0,2600
Action,Atari,4269,1983,0.46,1,Gremlins,0.43,7%,0%,93%,0%,0.03,0,1,0,2600
Action,Atari,3955,1983,0.5,1,Midnight Magic,0.47,6%,0%,94%,2%,0.03,0,1,0.01,2600
Action,Atari,2674,1983,0.77,1,Crystal Castles,0.72,5%,0%,94%,1%,0.04,0,1,0.01,2600
Action,Activision,4196,1987,0.47,1,Commando,0.44,4%,0%,94%,0%,0.02,0,1,0,2600
Action,Activision,3120,1987,0.65,1,Kung-Fu Master,0.6,6%,0%,92%,2%,0.04,0,1,0.01,2600
Action,Activision,6941,1988,0.24,1,Rampage,0.22,4%,0%,92%,0%,0.01,0,1,0,2600
Action,Activision,4149,1989,0.47,1,Double Dragon,0.45,4%,0%,96%,2%,0.02,0,1,0.01,2600
Action,Unknown,16496,,0.01,1,The Smurfs,0,100%,0%,0%,0%,0.01,0,1,0,3DS
Action,"Warner Bros, Interactive Entertainment",4793,,0.4,1,LEGO Harry Potter: Years 5-7,0.18,48%,0%,45%,10%,0.19,0,1,0.04,3DS
Action,Konami Digital Entertainment,14750,2011,0.03,1,Pro Evolution Soccer 2012,0.02,0%,0%,67%,0%,0,0,1,0,3DS
Action,Funbox Media,16170,2011,0.01,1,Order Up!!,0,100%,0%,0%,0%,0.01,0,1,0,3DS
Action,Nintendo,16126,2011,0.01,1,Nintendogs and Cats Golden Retriever and New Friends,0,100%,0%,0%,0%,0.01,0,1,0,3DS
Action,Namco Bandai Games,15395,2011,0.02,1,Crayon Shin-Chan: Uchuu de Achoo!? Yuujou no Oba-Karate!!,0,0%,100%,0%,0%,0,0.02,1,0,3DS
Action,Alchemist,12443,2011,0.06,1,Nicola Kanshuu: Model * Oshare Audition 2,0,0%,100%,0%,0%,0,0.06,1,0,3DS
Action,Namco Bandai Games,11360,2011,0.08,1,Gundam the 3D Battle,0,0%,100%,0%,0%,0,0.08,1,0,3DS
Action,Marvelous Interactive,8706,2011,0.16,1,Senran Kagura: Sh?jo-tachi no Shinei,0,0%,100%,0%,0%,0,0.16,1,0,3DS
Action,Namco Bandai Games,5895,2011,0.3,1,One Piece Unlimited Cruise SP,0,0%,100%,0%,0%,0,0.3,1,0,3DS
Action,Majesco Entertainment,9923,2011,0.12,1,Jaws: Ultimate Predator,0.11,0%,0%,92%,8%,0,0,1,0.01,3DS
Action,Sega,11317,2011,0.08,1,Captain America: Super Soldier,0.05,25%,0%,63%,13%,0.02,0,1,0.01,3DS
Action,Activision,10689,2011,0.1,1,Generator Rex: Agent of Providence,0.07,20%,0%,70%,10%,0.02,0,1,0.01,3DS
Action,THQ,10663,2011,0.1,1,Marvel Super Hero Squad: The Infinity Gauntlet,0.07,20%,0%,70%,10%,0.02,0,1,0.01,3DS
Action,"Warner Bros, Interactive Entertainment",10161,2011,0.11,1,Happy Feet Two,0.08,18%,0%,73%,9%,0.02,0,1,0.01,3DS
Action,Sega,10739,2011,0.1,1,Thor: God of Thunder,0.06,30%,0%,60%,10%,0.03,0,1,0.01,3DS
Action,Activision,9933,2011,0.12,1,Spider-Man: Edge of Time,0.08,25%,0%,67%,8%,0.03,0,1,0.01,3DS
Action,"Warner Bros, Interactive Entertainment",9542,2011,0.13,1,Green Lantern: Rise of the Manhunters,0.09,23%,0%,69%,8%,0.03,0,1,0.01,3DS
Action,Konami Digital Entertainment,7513,2011,0.2,1,Frogger 3D,0.16,15%,0%,80%,5%,0.03,0,1,0.01,3DS
Action,505 Games,10362,2011,0.11,1,Naruto Shippuden 3D: The New Era,0,36%,55%,0%,9%,0.04,0.06,1,0.01,3DS
Action,Tecmo Koei,4971,2011,0.39,1,Samurai Warriors Chronicles,0.12,13%,51%,31%,3%,0.05,0.2,1,0.01,3DS
Action,Activision,7329,2011,0.21,1,Transformers: Dark of the Moon,0.16,19%,0%,76%,10%,0.04,0,1,0.02,3DS
Action,Ubisoft,8764,2011,0.15,1,The Adventures of Tintin: The Game,0.05,60%,0%,33%,13%,0.09,0,1,0.02,3DS
Action,Electronic Arts,7804,2011,0.19,1,Need for Speed: The Run,0.09,47%,0%,47%,11%,0.09,0,1,0.02,3DS
Action,Ubisoft,5873,2011,0.3,1,Tom Clancy's Splinter Cell 3D,0.14,23%,23%,47%,7%,0.07,0.07,1,0.02,3DS
Action,Nintendo,4074,2011,0.49,1,Steel Diver,0.31,20%,10%,63%,6%,0.1,0.05,1,0.03,3DS
Action,Capcom,4022,2011,0.49,1,Resident Evil: The Mercenaries 3D,0.16,35%,27%,33%,6%,0.17,0.13,1,0.03,3DS
Action,Sega,4023,2011,0.49,1,Super Monkey Ball 3D,0.26,31%,10%,53%,8%,0.15,0.05,1,0.04,3DS
Action,Activision,3541,2011,0.57,1,Skylanders: Spyro's Adventure,0.32,35%,0%,56%,9%,0.2,0,1,0.05,3DS
Action,Disney Interactive Studios,3252,2011,0.62,1,LEGO Pirates of the Caribbean: The Video Game,0.29,45%,0%,47%,10%,0.28,0,1,0.06,3DS
Action,Nintendo,1783,2011,1.14,1,Pokemon Rumble Blast,0.47,23%,31%,41%,6%,0.26,0.35,1,0.07,3DS
Action,LucasArts,1805,2011,1.13,1,LEGO Star Wars III: The Clone Wars,0.61,38%,0%,54%,8%,0.43,0,1,0.09,3DS
Action,Maximum Family Games,14170,2012,0.03,1,Deer Drive: Legends,0.03,0%,0%,100%,0%,0,0,1,0,3DS
Action,Arc System Works,15297,2012,0.02,1,Detective Jinguuji Saburo: Ronde Revenge,0,0%,100%,0%,0%,0,0.02,1,0,3DS
Action,IE Institute,15546,2012,0.02,1,Poyo Poyo Kansatsu Nikki,0,0%,100%,0%,0%,0,0.02,1,0,3DS
Action,Irem Software Engineering,15618,2012,0.02,1,PachiPara 3D: Ooumi Monogatari 2 - Pachi Pro Fuuunroku Hana,0,0%,100%,0%,0%,0,0.02,1,0,3DS
Action,Namco Bandai Games,15558,2012,0.02,1,Gon: BakuBakuBakuBaku Adventure,0,0%,100%,0%,0%,0,0.02,1,0,3DS
Action,Nippon Ichi Software,14156,2012,0.03,1,Mame Goma: Shiro to Kuro no Meikyuu,0,0%,100%,0%,0%,0,0.03,1,0,3DS
Action,Genki,13190,2012,0.05,1,G1 Grand Prix,0,0%,100%,0%,0%,0,0.05,1,0,3DS
Action,Level 5,13157,2012,0.05,1,Guild 01,0,0%,100%,0%,0%,0,0.05,1,0,3DS
Action,Namco Bandai Games,12941,2012,0.05,1,Minna no Ennichi,0,0%,100%,0%,0%,0,0.05,1,0,3DS
